rank,name,team,conference,position,class_year,height,season,games_played,ortg,pct_poss,efg_pct,ts_pct,three_pt_rate,ft_rate,ppg,rpg,apg,ast_rate,to_rate,or_pct,dr_pct,fc_per_40,minutes_pct
14,Anthony Pritchard,Central Michigan,,,Sr,6-2,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,91.4
16,Luke Barrett,Saint Mary's,,,Sr,6-6,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.2
17,Rashad King,Northeastern,,,Jr,6-6,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1
18,Jahnathan Lamothe,North Carolina A&T,,,So,6-4,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
19,Kino Lilly,Brown,,,Sr,6-0,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,90.9
20,Tayshawn Comer,Evansville,,,Jr,6-1,2025,0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9
21,Issac McBride,Oral Roberts,,,Sr,6-0,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8
22,Honor Huff,Chattanooga,,,Jr,5-10,2025,0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,90.7
24,Ethan Taylor,Air Force,,,Sr,6-5,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6
25,Bubu Benjamin,Tarleton St.,,,So,6-7,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6
26,Jalen Terry,Eastern Michigan,,,Sr,6-0,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6
28,Tymu Chenery,Binghamton,,,Sr,6-6,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
